Country,Government_Type,Capital,Mean_Temp,Real_GDP_PPP_billion_USD,Real_GDP_per_Capita_USD,Real_GDP_Growth_Rate_percent,Youth_Unemployment_Rate_percent,Population_Growth_Rate,Median_Age,Total_Literacy_Rate,electricity_access_percent,electricity_capacity_per_capita,internet_users_per_100,broadband_subs_per_100,mobile_subs_per_100,population_density,road_density_per_1000km2,rail_density_per_1000km2,airports_per_million,co2_per_capita_tonnes,co2_per_gdp_tonnes_per_billion,fossil_intensity_index,water_share,coastline_per_1000km2
ARUBA,Democracy,Oranjestad,29.63,4.14,38900.0,17.17,,1.11,39.9,97.8%,100.0,2406.5040650406504,86829.26829268293,15447.154471544716,113821.13821138212,0.6833333333333333,5555.555555555556,,,8130.081300813008,0.24154589371980678,,0.0,380.55555555555554
AUSTRALIA,Democracy,Canberra,22.77,1279.0,49800.0,2.24,10.8,1.19,37.5,,100.0,3.118418893558961,84.31223325532973,32.0091714779311,106.83580610166612,3.44443278705596,113.71242987126251,4.694427450112596,18.139790211814553,15758942.746513892,326035.96559812356,2.6863176303016325,0.007611203402047739,3.3531624643661404
AUSTRIA,Republic,Vienna,9.26,484.7,54100.0,4.56,11.4,0.31,44.5,,100.0,3.1737439127779656,92.57497600901927,29.147084284956925,121.71331393176942,108.4463581781794,1662.1869124871127,74.26769361392444,5.8159953293083655,7.2699941616354575,0.13410356921807304,-0.1787212886653559,0.017002301152961096,0.0
AZERBAIJAN,Republic,Baku,13.94,146.31,14400.0,5.6,16.5,0.63,32.6,99.8%,100.0,0.7367198262273985,82.52951029771562,19.149475817653926,103.80553168437453,126.11207929419453,302.3272700867734,,3.5506882337389274,3.35875914002331,0.2392180985578566,-0.08916283659713385,0.045854503464203236,0.0
"BAHAMAS, THE",Democracy,Nassau,,12.32,30200.0,13.72,30.8,0.8,32.8,,100.0,1.612237383824071,107.50108784183338,23.151505684670916,129.98315239827284,35.81498501498501,269.73026973026975,,170.14962009215972,8.3680141028931,0.2435064935064935,,0.2788184438040346,353.84615384615387
BAHRAIN,Monarchy,Manama,28.57,72.27,49400.0,2.23,9.9,0.85,32.9,97.5%,100.0,4.493251113659561,96.5321780362266,9.584229473719436,123.78276141235585,2044.5868421052633,5423.684210526316,,472.36412452393546,27.67255770371829,0.5949910059499101,,0.0,211.8421052631579
BANGLADESH,Republic,Dhaka,26.18,1001.0,5900.0,6.94,14.7,0.91,27.9,74.9%,98.0,0.11042293911698076,39.656794666896836,6.01301023991673,108.2763443361798,1284.3548052546669,2835.561189214105,18.898363678266882,0.10766550588297782,0.5742160313758817,0.0959040959040959,-0.18725460302526967,0.12319816785666172,4.455711761542599
BARBADOS,Republic,Bridgetown,27.41,3.87,13800.0,-0.19,30.6,0.24,39.5,99.6%,100.0,1.0249447156025588,79.35906351032031,42.18421980615033,104.35090679594373,705.6534883720931,3953.4883720930234,,,3.2956421723554943,0.25839793281653745,,0.0,225.58139534883722
BELARUS,Republic,Minsk,9.34,184.48,19800.0,2.3,11.3,0.32,40.9,99.9%,100.0,1.210590148843977,89.00395178824732,34.693126586701645,125.32258337806442,46.24865943814687,426.8112370625924,27.24494825036964,6.926792224899516,5.75456584837806,0.292714657415438,-0.16322353735348513,0.022639691714836225,0.0
BELGIUM,Democracy,Brussels,11.77,599.81,51700.0,6.13,19.6,0.55,41.6,,100.0,2.2603516492408318,91.659697759701,39.73775253946466,98.54355929883017,393.47489926679435,3910.892397120021,118.96426448246253,3.4414355385968323,10.74399387659499,0.21340091028825797,-0.17676466129379254,0.008189203354297694,2.196314155492437
